,,,
Time,No.,Content,Hotness
2022-10-12 17:37:00,,,
,1,#GoHabsGo,
,2,Alex Jones,
,3,#AEWDynamite,
,4,Cole Caufield,"1,455"
,5,Pfizer,552K
,6,Thanksgiving,17.9K
,7,Demko,
,8,Danielle Smith,46.7K
,9,#Survivor,
,10,#JIMINDAY,779K
,11,Bunting,
,12,Innisfil,"4,005"
,13,Barca,348K
,14,Angela Lansbury,@Variety
,15,#HappyBirthdayJimin,534K
,16,Alberta,55.7K
,17,Discrimination,62.3K
,18,Shawn Spears,"1,199"
,19,Firmino,40.8K
,20,Dubé,"3,602"
,21,Nick Suzuki,
,22,Jake Allen,
,23,Jericho,"5,620"
,24,Laine,"3,954"
,25,Holl,
,26,Murder She Wrote,31.9K
,27,Sinder,
,28,Hinshaw,"6,166"
,29,Wideman,
,30,Dach,"2,142"
,,,
Time,No.,Content,Hotness
2022-10-12 23:27:12,,,
,1,#LetsGoOilers,
,2,#LeafsForever,"7,443"
,3,Alex Jones,
,4,Pfizer,534K
,5,Muzzin,"2,547"
,6,Kane,
,7,#AEWDynamite,
,8,Matt Murray,"2,166"
,9,thanksgiving,19.2K
,10,Campbell,15.3K
,11,Nurse,48.7K
,12,Demko,"1,415"
,13,Carey Price,"2,485"
,14,Danielle Smith,44.1K
,15,Miller,64.6K
,16,#JIMINDAY,903K
,17,Horvat,
,18,#HappyBirthdayJimin,818K
,19,Innisfil,"4,032"
,20,Alberta,49K
,21,Barca,372K
,22,Discrimination,59.6K
,23,Angela Lansbury,@Variety
,24,Kuzmenko,
,25,Dubé,"3,585"
,26,Bunting,"2,509"
,27,Sean Monahan,
,28,Pique,238K
,29,Marner,"1,456"
,30,Pettersson,
,,,
Time,No.,Content,Hotness
2022-10-12 23:40:49,,,
,1,#LetsGoOilers,
,2,#LeafsForever,
,3,Alex Jones,
,4,Pfizer,537K
,5,Muzzin,"2,548"
,6,Kane,
,7,#AEWDynamite,
,8,Matt Murray,"2,165"
,9,Thanksgiving,19.3K
,10,Demko,"1,417"
,11,#SheHulk,14.7K
,12,Carey Price,"2,484"
,13,Cole Caufield,"2,091"
,14,Danielle Smith,44.3K
,15,Nurse,49K
,16,#JIMINDAY,906K
,17,Innisfil,"4,035"
,18,Alberta,49.1K
,19,Barca,374K
,20,Miller,64.9K
,21,Discrimination,59.9K
,22,Angela Lansbury,@Variety
,23,Horvat,
,24,Dubé,"3,607"
,25,Bunting,"2,521"
,26,Sean Monahan,
,27,Leon,89.7K
,28,Marner,"1,458"
,,,
Time,No.,Content,Hotness
2022-10-12 23:52:39,,,
,1,#LetsGoOilers,
,2,#LeafsForever,
,3,Alex Jones,
,4,Pfizer,540K
,5,Muzzin,"2,552"
